game_date,game_year,player_name,batter,pitcher,events,description,bb_type,launch_speed,launch_angle,hc_x,hc_y,hit_distance_sc,spray_angle,release_spin_rate,spin_rate_deprecated,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,babip_value,iso_value,home_team,away_team,inning,outs_when_up,stand,p_throws,balls,strikes,pfx_x,pfx_z,plate_x,plate_z
2023-04-22,2023,"Ohtani, Shohei",660271,425844,field_out,hit_into_play,fly_ball,101.9,37.0,96.15,56.57,360.0,-112.86022556764948,2329.0,,0.377,0.722,0.0,0.0,0.0,LAA,KC,5,1,L,R,3,2,-0.07,1.13,0.21,2.29
2023-04-22,2023,"Ohtani, Shohei",660271,425844,field_out,hit_into_play,fly_ball,78.8,36.0,80.15,107.81,255.0,-159.0292911984494,2537.0,,0.046,0.048,0.0,0.0,0.0,LAA,KC,1,2,L,R,2,2,1.69,0.29,-0.04,2.83
2023-04-22,2023,"Ohtani, Shohei",660271,547973,field_out,hit_into_play,popup,68.1,55.0,97.39,142.95,161.0,146.9710268435983,2446.0,,0.037,0.033,0.0,0.0,0.0,LAA,KC,7,1,L,L,0,1,-0.71,0.52,-0.61,1.74
2023-04-22,2023,"Ohtani, Shohei",660271,605130,field_out,hit_into_play,ground_ball,53.5,-58.0,118.84,184.39,1.0,95.9216105361114,2355.0,,0.26,0.251,0.0,0.0,0.0,LAA,KC,9,2,L,R,0,2,1.4,-0.83,-0.61,1.26
2023-04-23,2023,"Ohtani, Shohei",660271,543475,sac_fly,hit_into_play,fly_ball,97.6,31.0,49.65,87.78,333.0,-153.7124006737836,2493.0,,0.309,0.528,0.0,0.0,0.0,LAA,KC,1,0,L,R,0,0,0.78,-1.35,-0.5,2.65
2023-04-23,2023,"Ohtani, Shohei",660271,543475,home_run,hit_into_play,fly_ball,107.3,25.0,160.15,34.53,415.0,-68.76752827705378,2529.0,,0.957,1.858,2.0,0.0,3.0,LAA,KC,6,0,L,R,2,2,0.48,-1.53,-0.22,2.09
2023-04-23,2023,"Ohtani, Shohei",660271,657031,single,hit_into_play,ground_ball,81.3,-12.0,158.34,164.51,9.0,49.84108860065655,2122.0,,0.069,0.068,0.9,1.0,0.0,LAA,KC,8,0,L,L,1,2,-0.63,0.08,-0.47,2.03
2023-04-24,2023,"Ohtani, Shohei",660271,670124,field_out,hit_into_play,line_drive,90.7,19.0,125.38,73.65,312.0,-89.57600781327544,1684.0,,0.477,0.445,0.0,0.0,0.0,LAA,ATH,9,0,L,R,3,2,0.79,-0.62,0.53,2.35
2023-04-24,2023,"Ohtani, Shohei",660271,686610,field_out,hit_into_play,ground_ball,100.8,1.0,128.32,137.32,54.0,74.9181701759421,2137.0,,0.454,0.409,0.0,0.0,0.0,LAA,ATH,3,2,L,L,2,2,0.82,1.18,-0.15,3.12
2023-04-24,2023,"Ohtani, Shohei",660271,686610,double,hit_into_play,ground_ball,104.3,-3.0,210.03,124.53,34.0,-0.3166969554707418,1489.0,,0.466,0.434,1.25,1.0,1.0,LAA,ATH,6,0,L,L,2,1,1.28,0.53,0.24,2.82
2023-04-25,2023,"Ohtani, Shohei",660271,695243,field_out,hit_into_play,fly_ball,103.5,46.0,47.82,84.07,343.0,-152.06215485039033,2393.0,,0.054,0.075,0.0,0.0,0.0,LAA,ATH,1,1,L,R,0,0,-0.72,1.25,0.04,2.51
2023-04-25,2023,"Ohtani, Shohei",660271,663992,force_out,hit_into_play,ground_ball,73.7,0.0,128.1,147.32,39.0,82.09283729704156,2169.0,,0.126,0.121,0.0,0.0,0.0,LAA,ATH,5,1,L,L,1,2,1.34,0.33,0.72,2.59
2023-04-26,2023,"Ohtani, Shohei",660271,665622,field_out,hit_into_play,ground_ball,78.8,-30.0,154.48,162.02,3.0,51.46876763089416,1458.0,,0.037,0.045,0.0,0.0,0.0,LAA,ATH,2,1,L,R,1,1,-1.35,0.76,-0.55,1.65
2023-04-26,2023,"Ohtani, Shohei",660271,660261,single,hit_into_play,line_drive,103.0,7.0,84.82,100.24,176.0,-148.3575040835988,2107.0,,0.689,0.648,0.9,1.0,0.0,LAA,ATH,6,1,L,R,1,1,-1.02,0.98,-0.89,2.53
2023-04-26,2023,"Ohtani, Shohei",660271,663385,home_run,hit_into_play,fly_ball,103.9,34.0,118.97,37.1,401.0,-93.92438117484133,2027.0,,0.66,1.313,2.0,0.0,3.0,LAA,ATH,8,1,L,R,1,1,-1.66,0.82,0.07,1.94
